 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.4894661556157533E-01   0.1777080618770389E-17  -0.1236826644301558E+01  -0.3604331676573187E+02
 -0.4943878458439747E-01   0.1276528654128814E-16  -0.1233738941803392E+01  -0.3534619343592846E+02
 -0.4993590247537415E-01   0.7054145323513323E-16  -0.1230646800832796E+01  -0.3601682864100358E+02
 -0.5043801899646698E-01  -0.3702688542347282E-16  -0.1227550206256329E+01  -0.3591638509889985E+02
 -0.5094518441000504E-01  -0.1027460789822935E-17  -0.1224449142868612E+01  -0.3604354212429146E+02
 -0.5145744948371626E-01  -0.3301608501022944E-16  -0.1221343595391927E+01  -0.3678036485824776E+02
 -0.5197486549580927E-01   0.1096983979488741E-17  -0.1218233548475796E+01  -0.3535047468120374E+02
 -0.5249748424010638E-01  -0.7848647364426916E-17  -0.1215118986696571E+01  -0.3512633378352704E+02
 -0.5302535803122825E-01  -0.3609620517353749E-18  -0.1211999894557009E+01  -0.3604363981371174E+02
 -0.5355853970983056E-01  -0.1872941585228074E-16  -0.1208876256485854E+01  -0.3562224806648543E+02
 -0.5409708264789349E-01  -0.8255010414708906E-16  -0.1205748056837414E+01  -0.3578970989457068E+02
 -0.5464104075406423E-01   0.1078074775484156E-16  -0.1202615279891131E+01  -0.3790833621920015E+02
 -0.5519046847905332E-01   0.2401209555795824E-17  -0.1199477909851151E+01  -0.3535035778898344E+02
 -0.5574542082108521E-01   0.1744791264371941E-17  -0.1196335930845897E+01  -0.3535042806877416E+02
 -0.5630595333140366E-01   0.3011406511791584E-16  -0.1193189326927627E+01  -0.3493483042255524E+02
 -0.5687212211983243E-01  -0.5190148910012875E-18  -0.1190038082072000E+01  -0.3673669059549134E+02
 -0.5744398386039192E-01  -0.3432531752924238E-17  -0.1186882180177636E+01  -0.3535020651742025E+02
 -0.5802159579697236E-01   0.9306809452576381E-18  -0.1183721605065669E+01  -0.3604356550469984E+02
 -0.5860501574906389E-01   0.1384504378074355E-17  -0.1180556340479303E+01  -0.3563810209673426E+02
 -0.5919430211754440E-01   0.7328881366030426E-23  -0.1177386370083363E+01  -0.3494504110044905E+02
 -0.5978951389052551E-01   0.2391229040681249-307  -0.1174211677463840E+01  -0.7073692764190021E+03
 -0.6039071064925729E-01  -0.5303808806745051E-18  -0.1171032246127440E+01  -0.3604362518321153E+02
