 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.4769786033835600E+01  -0.3226196625547926-307   0.1117004734699711E+01           200             3  -0.70556199E+03
 -0.4817483894173956E+01   0.2939436357081492E-16   0.1126236692124480E+01           200             3  -0.35178323E+02
 -0.4865658733115696E+01  -0.4091880499893602E-17   0.1135503418378528E+01           200             3  -0.34097356E+02
 -0.4914315320446853E+01  -0.1334654089547168E-16   0.1144805099083730E+01           200             3  -0.34765814E+02
 -0.4963458473651322E+01  -0.1278042982209909E-15   0.1154141920896221E+01           200             3  -0.34041173E+02
 -0.5013093058387835E+01  -0.1377870412143733E-17   0.1163514071511535E+01           200             3  -0.34375861E+02
 -0.5063223988971714E+01  -0.4057464165671283-307   0.1172921739669750E+01           200             3  -0.70527980E+03
 -0.5113856228861431E+01  -0.1201520050700730E-15   0.1182365115160665E+01           200             3  -0.33281886E+02
 -0.5164994791150046E+01  -0.1268421107452594E-15   0.1191844388828978E+01           200             3  -0.33535323E+02
 -0.5216644739061547E+01  -0.2133231413393067E-18   0.1201359752579504E+01           200             3  -0.36154749E+02
 -0.5268811186452163E+01   0.2906076070842352E-18   0.1210911399382390E+01           200             3  -0.36151426E+02
 -0.5321499298316684E+01   0.4158243266318390E-17   0.1220499523278363E+01           200             3  -0.33845399E+02
 -0.5374714291299851E+01  -0.1720165973523116E-16   0.1230124319383994E+01           200             3  -0.33939797E+02
 -0.5428461434212849E+01   0.3000490473428328E-18   0.1239785983896976E+01           200             3  -0.36141654E+02
 -0.5482746048554977E+01  -0.2794061162081861-290   0.1249484714101426E+01           200             3  -0.66641086E+03
 -0.5537573509040527E+01   0.5136615293832115-307   0.1259220708373200E+01           200             3  -0.70496151E+03
 -0.5592949244130932E+01  -0.2631994828553153-307   0.1268994166185236E+01           200             3  -0.70562079E+03
 -0.5648878736572241E+01   0.2409368335257883E-16   0.1278805288112908E+01           200             3  -0.34155570E+02
 -0.5705367523937964E+01  -0.2200463420677538E-17   0.1288654275839398E+01           200             3  -0.33928102E+02
 -0.5762421199177344E+01   0.5053945785653950E-17   0.1298541332161098E+01           200             3  -0.33556857E+02
 -0.5820045411169117E+01  -0.1224101111614057E-16   0.1308466660993019E+01           200             3  -0.33477939E+02
 -0.5878245865280809E+01  -0.3213073399697911E-18   0.1318430467374224E+01           200             3  -0.34729247E+02
 -0.5937028323933617E+01  -0.1497735788122661E-17   0.1328432957473285E+01           200             3  -0.34502576E+02
 -0.5996398607172953E+01  -0.2314476699820567E-16   0.1338474338593749E+01           200             3  -0.33792890E+02
 -0.6056362593244683E+01  -0.4444605448808163E-16   0.1348554819179632E+01           200             3  -0.34065376E+02
 -0.6116926219177129E+01   0.6543673763244355E-18   0.1358674608820934E+01           200             3  -0.35408820E+02
 -0.6178095481368900E+01  -0.7908940959793185E-16   0.1368833918259163E+01           200             3  -0.34068636E+02
 -0.6239876436182589E+01  -0.3962590462112962E-18   0.1379032959392889E+01           200             3  -0.36095131E+02
 -0.6302275200544416E+01   0.4548519043948711E-17   0.1389271945283312E+01           200             3  -0.33452850E+02
 -0.6365297952549859E+01  -0.5685194813921579E-16   0.1399551090159858E+01           200             3  -0.33704741E+02
 -0.6428950932075358E+01  -0.1173242551104750E-17   0.1409870609425778E+01           200             3  -0.34293591E+02
 -0.6493240441396112E+01   0.1416310072297934E-17   0.1420230719663789E+01           200             3  -0.34136053E+02
 -0.6558172845810073E+01  -0.1344294203465343E-18   0.1430631638641720E+01           200             3  -0.36078643E+02
 -0.6623754574268173E+01   0.2687537937639436E-23   0.1441073585318180E+01           200             3  -0.33995861E+02
 -0.6689992120010855E+01   0.9749982490045923E-18   0.1451556779848252E+01           200             3  -0.34462356E+02
 -0.6756892041210963E+01  -0.7814531769535355E-16   0.1462081443589203E+01           200             3  -0.33406734E+02
 -0.6824460961623073E+01   0.6817419365527982E-18   0.1472647799106217E+01           200             3  -0.34966322E+02
 -0.6892705571239303E+01  -0.2146648566649404E-16   0.1483256070178146E+01           200             3  -0.33652352E+02
 -0.6961632626951697E+01  -0.1386683311250817E-17   0.1493906481803283E+01           200             3  -0.34671583E+02
 -0.7031248953221214E+01   0.3870922118316782E-16   0.1504599260205156E+01           200             3  -0.33047549E+02
 -0.7101561442753426E+01  -0.2631514835572155-307   0.1515334632838345E+01           200             3  -0.70538459E+03
 -0.7172577057180961E+01  -0.9763709981129045E-18   0.1526112828394315E+01           200             3  -0.33968443E+02
 -0.7244302827752771E+01  -0.1951982707309112E-17   0.1536934076807274E+01           200             3  -0.33964847E+02
 -0.7316745856030298E+01   0.1346176598655205E-15   0.1547798609260054E+01           200             3  -0.33641939E+02
 -0.7389913314590602E+01  -0.3845455277309312E-18   0.1558706658190004E+01           200             3  -0.34938892E+02
 -0.7463812447736507E+01  -0.2487499362447588E-16   0.1569658457294920E+01           200             3  -0.33576200E+02
 -0.7538450572213873E+01  -0.1053035534729702E-17   0.1580654241538981E+01           200             3  -0.34238746E+02
 -0.7613835077936011E+01   0.7051086276433050E-18   0.1591694247158716E+01           200             3  -0.33947658E+02
